id,name,address,phone,isr_code,sap_code,company_code,type,status,associate_id,created_at,updated_at
01KZRRGW1442K27HM42RTFZG1M,OrbitLume Industries,"145 Oakwood Lane, Springfield, IL 62704",(555) 123-4567,T7K9P2R4,QW2R4Z8A3,V8C3X7Z9M2,distributor,active,,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14N5VHBCMAJGNJ0GJH,VerdePoint Solutions,"938 Maple Drive, Riverside, CA 92607",(800) 987-6543,F3X5C8Z1,BH1J6M5N7,G2F6H4J1K7,distributor,active,,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14N56M3HGFGXE3FN5T,ApexNova Consulting,"412 Cedar Point Ave, Lakeside, TX 79053",(415) 555-0199,D9H4J6L0,P9K4L2H6T8,D6N9W5R3Q0,distributor,active,,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14KMGR1H2QPNVXB420,Galactic Innovations,145 Starbound Road Andromeda Galaxy 62704,(555) 123-4567,T7K9P2R4,QW2R4Z8A3,K7N2P9W4,dealer,active,01KZRRGW1442K27HM42RTFZG1M,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW143DR9TSRKKQDPRDKM,Quantum Solutions,938 Nebula Drive Orion City 92607,(800) 987-6543,F3X5C8Z1,BH1J6M5N7,3M8XJ5R1,dealer,active,01KZRRGW1442K27HM42RTFZG1M,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14MXEWF9HMYNXVS5ER,NovaTech Consulting,412 Quantum Way Lakeside Nebula 79053,(415) 555-0199,D9H4J6L0,P9K4L2H6T8,V6Q2D9T0,dealer,active,01KZRRGW1442K27HM42RTFZG1M,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14DC1V4DFEXXX74JBW,NovaEdge Technologies,78 Solar Pathway Coastal Bay 33134,(555) 333-4444,T0R2K3J4,H6I7F8G9,L1S7H4B3,dealer,active,01KZRRGW14N5VHBCMAJGNJ0GJH,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14KBMMYGKVHMX9RQD8,Planetary AgroChem,321 Meteor Lane Farmington Mars 48314,(800) 444-5555,T4T3R2U1,S8I7H6G9,G9Y4C2M6,dealer,active,01KZRRGW14N5VHBCMAJGNJ0GJH,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW149RPSGBHQY8MZC6NF,Quasar Dynamics,56 Interstellar St Metropolis NY 10001,(805) 666-7777,T9T8R7S6,V4W5Y6U8,P5N1Z8X0,dealer,active,01KZRRGW14N5VHBCMAJGNJ0GJH,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14K9GDB2KGW0SVFJBM,Vortex Ventures,234 Cosmic Circle Cityville Galactic 75001,(900) 555-6666,T6T7R8S9,W0X1Y2Z3,T3K9V6J2,dealer,active,01KZRRGW14N56M3HGFGXE3FN5T,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
