id,status,freezer_id,account_id,user_id,created_at,updated_at,origin,destination
01KZV5Q32DEYJ30CEHEHC9S172,deployment,01KZRTCK0EQTP8KZSMEW2EMB5G,01KZRRGW143DR9TSRKKQDPRDKM,01KZRW4877B9B3MX4SDENM2X4F,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW143DR9TSRKKQDPRDKM,01KZRRGW14A7VW9HY70W2ZKDCX
01KZV5Q32DP3HTQP5N2RJEFPMM,for downgrade,01KZRTCK0BXEQ1SWHM21K47A6J,01KZRRGW14FX4FRK4R4E3MKR5J,01KZRW4877JT4P6WNFK8H35SP9,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14WH1V6PTWDSASC4XK,01KZRRGW14Y65J9N71RS7C99PT
01KZV5Q32DHVRVBE0M4BJD1B7C,for pullout,01KZRTCK0H7AY41EGX8AM303VG,01KZRRGW14X04WHWJ78QR6J8H3,01KZRW48778HEX0CCC1CXQ27DR,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW142RC6MARTSS19R7GK,01KZRRGW14RBSVD8GEY7WA5YWC
01KZV5Q32DVWW1JMBH0KMNNXBM,for pullout,01KZRTCK0GMDM40TGX0C3EYTK7,01KZRRGW14K9GDB2KGW0SVFJBM,01KZRW4877WE0F7J1HSG76PWQF,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14KBMMYGKVHMX9RQD8,01KZRRGW143DR9TSRKKQDPRDKM
01KZV5Q32D41GS7B2FP7S6XSCT,for upgrade,01KZRTCK09K81SFRN9F1HS7ASC,01KZRRGW14MXEWF9HMYNXVS5ER,01KZRW4877NYSZZ4VFYZTN4ES1,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14MXEWF9HMYNXVS5ER,01KZRRGW14THZB9B34PPHZSFE2
01KZV5Q32DWMZEZK62S669SGHR,pullout by distributor,01KZRTCK0BF4T63J8GQR2QBY7T,01KZRRGW14Z2V2BPKDSQ6DKV67,01KZRW4877V5PZPAVH7Z3DSPSZ,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14XPKB44H9B6WS515H,01KZRRGW14W9JF1K1J0X6X34N8
01KZV5Q32DJQDYPHDC35QGT1T8,for downgrade,01KZRTCK0DE8D6XWZXWCYGJJ2W,01KZRRGW14K9GDB2KGW0SVFJBM,01KZRW4877R9Q45MFW4A93MM51,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14FX4FRK4R4E3MKR5J,01KZRRGW14N9EVMX0Z1ZRJRRAH
01KZV5Q32D0R38DWWFEEXYT667,for upgrade,01KZRTCK0GTDA6V811V6820HZ3,01KZRRGW14DC1V4DFEXXX74JBW,01KZRW4877E1K1FVC8Z9DHP6KE,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14J5MRZ241JHXYMPE5,01KZRRGW14W9JF1K1J0X6X34N8
01KZV5Q32DZQSWQFAEX96HAYPH,for upgrade,01KZRTCK0CWECWR8QCTJKMFQ0M,01KZRRGW14X04WHWJ78QR6J8H3,01KZRW48773TK4Y7T9N1T5N0JM,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14N56M3HGFGXE3FN5T,01KZRRGW147SW8PDR6Z12DT4B9
01KZV5Q32DXKC6CXT6JJZ1PMPM,for replacement - broken unit,01KZRTCK0GGQYB1A3BT445GRJQ,01KZRRGW14VWS3587600FPGYJJ,01KZRW4877E1K1FVC8Z9DHP6KE,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14W9JF1K1J0X6X34N8,01KZRRGW14RBSVD8GEY7WA5YWC
01KZV5Q32DZ6H6Z3HZ7WR0RCZG,pullout by dealer,01KZRTCK0GDZ8SB6YYGT9SSY2X,01KZRRGW149RPSGBHQY8MZC6NF,01KZRW4877C3T2MSDMNBQ24EB4,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14A7VW9HY70W2ZKDCX,01KZRRGW149RPSGBHQY8MZC6NF
01KZV5Q32DTRB0C9CB1YM18DV5,for replacement - broken unit,01KZRTCK0C0G07RYTY99EDRPPR,01KZRRGW14N56M3HGFGXE3FN5T,01KZRW4877FZ26T405N4WYZMRG,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14X9Y2N7Y1J43BS87F,01KZRRGW14KMGR1H2QPNVXB420
01KZV5Q32DSPFS4VQGM1E5V3Q3,for replacement - broken unit,01KZRTCK0CNKY69JR1FNB0N5JH,01KZRRGW14JQ7JEW5HBDS8P7VJ,01KZRW48774A2DK7QW4RW8GRQD,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14WSB3JJJKQDEREKF3,01KZRRGW14RBSVD8GEY7WA5YWC
01KZV5Q32D5DYMVW4QWSGNBDYV,for replacement - broken unit,01KZRTCK09KQDB5P5SS195863C,01KZRRGW14200T0G4QVVJEZMW1,01KZRW48779S7EXPA0TNQWKTA6,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14G35YB41SN7AN85CV,01KZRRGW1448AZYH3Y9E70DS21
01KZV5Q32E53Z3ZCCERJ1K7RRJ,pullout by distributor,01KZRTCK0CNKY69JR1FNB0N5JH,01KZRRGW14200T0G4QVVJEZMW1,01KZRW48779CWAQ752ZGCV7AN3,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14JQ7JEW5HBDS8P7VJ,01KZRRGW14DC1V4DFEXXX74JBW
01KZV5Q32ENHBXW39R848TD19H,for pullout,01KZRTCK09MBGRQZ918B0JYQNE,01KZRRGW14W9JF1K1J0X6X34N8,01KZRW4877E1K1FVC8Z9DHP6KE,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW146F8C4946XJM2S6EC,01KZRRGW14K9GDB2KGW0SVFJBM
01KZV5Q32EVQ9CDXZF0QJP5XP3,deployment,01KZRTCK0G0DG8YS3VG69RZ0BJ,01KZRRGW14200T0G4QVVJEZMW1,01KZRW4877V0J57H3JPGGS28WZ,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW143XAZME28X8CPEY8S,01KZRRGW14PHE1YJB3BS55XR3K
01KZV5Q32EXGCCTFVNXCNGMADZ,for upgrade,01KZRTCK09FTB94N3B91KZSWVS,01KZRRGW14JQ7JEW5HBDS8P7VJ,01KZRW48777AHPHKJ81KF0SBSV,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14N5VHBCMAJGNJ0GJH,01KZRRGW14J5MRZ241JHXYMPE5
01KZV5Q32E9RYTQE7V3YS592ET,for pullout,01KZRTCK0FPAMHS7P4ME58ACZC,01KZRRGW14X04WHWJ78QR6J8H3,01KZRW4877MED929DRBY96SNBC,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14MXEWF9HMYNXVS5ER,01KZRRGW14N56M3HGFGXE3FN5T
