id,model,capacity,barcode,brand,year_model,created_at,updated_at
01KZRTCK08BT0XKYRQCNA5GZZ4,Swing-up Freezer,12cu,YIRLDPLDM1,Haier,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK087XJX8NB17FC7PNXW,Swing-up Freezer,15cu,MUZZ6UO4NX,Aucma,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08HVKDNCXE8ZZTDXN4,Swing-up Freezer,24cu,V2H40T7BZJ,Liebherr,2022,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08H89BJARRNGAPCBM3,Curved Glass Lighted Freezer,18cu,K42NSK5OAF,Aucma,2007,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08XCZVMKA20A3SF398,Curved Glass Freezer,18cu,2KLBIW5UIW,Hiron,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08GNMMXG6D8Y17Q4SD,Sliding Glass Freezer,15cu,9YDQ8HROIR,Aucma,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08TGC4E5EV7HDR480Q,Sliding Glass Freezer,18cu,SSG2URVFP6,Liebherr,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08W2VKBBGB5EHC35RN,Curved Glass Lighted Freezer,8cu,CV4HE59V2K,Aucma,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08QH35H78G3Z4WQ9VC,Curved Glass Freezer,18cu,WTCHK0XREU,Liebherr,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK083HV6GH1XWWZCQS44,Swing-up Freezer,24cu,8JW2R843DZ,Hiron,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08C0M5XNN4FHPQV8V7,Swing-up Freezer,12cu,VKIPYZKB86,Haier,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08K0YBZJE755VD6F8C,Curved Glass Lighted Freezer,18cu,Z8ZWELGASK,Aucma,2017,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08YCCX02TVJ5CPZ9D1,Swing-up Freezer,9cu,CLVP2J3VYR,Liebherr,2013,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0817YQZV4J1H6JYE0A,Curved Glass Freezer,9cu,H3RX7JNZK2,Haier,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK089CKZ37H7JGX22K2F,Curved Glass Lighted Freezer,12cu,S56MO998SY,Haier,2017,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08TE19SBXYQ981X6XE,Swing-up Freezer,24cu,DCI79NLU77,Haier,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08EMXA9KA3FD4A6FX8,Curved Glass Freezer,12cu,OPFG4SLG2M,Haier,2013,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08GHYTVAKJYB5W4WT0,Curved Glass Lighted Freezer,15cu,3YVPUTYLAH,Liebherr,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK086FZSK6J7XCF1JV32,Curved Glass Lighted Freezer,15cu,DKK5XLWT9J,Hiron,2000,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08XJ6Y1YDGT35AM4H7,Curved Glass Lighted Freezer,9cu,TFPCP3SVFJ,Liebherr,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08BNBG3WHVFR7752C9,Curved Glass Freezer,24cu,1DU78HAY77,Aucma,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08K2T65SFFGMW00359,Sliding Glass Freezer,18cu,KG6Y0X7T8I,Haier,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK086NH160N9DBHN8VQD,Swing-up Freezer,18cu,ELYUY6Q8WT,Liebherr,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08324GYTSB5JYW2QYA,Curved Glass Lighted Freezer,15cu,GMNU7I5GWT,Hiron,2019,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK086K620886775DZ7T0,Curved Glass Freezer,12cu,L5KLVSYVK9,Haier,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08ZJ6HXA59V0F5H2AA,Sliding Glass Freezer,12cu,DVWHVGA4I6,Liebherr,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08ESNTMBYH49Q3K5TY,Curved Glass Freezer,12cu,FN1SAEEPZG,Liebherr,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK08E957EMXAC78FS4DX,Curved Glass Freezer,9cu,SSD1Q57U4Y,Aucma,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09JQWH04W3H525JV6T,Swing-up Freezer,15cu,UMAKCIIBR6,Liebherr,2013,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09Y2CMZEQMN1KAEQEP,Sliding Glass Freezer,24cu,Y8HY6BDSCL,Hiron,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09752SA17BD62ZV900,Curved Glass Lighted Freezer,12cu,NNOMION2FJ,Liebherr,2023,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09FAC0GX95W662NY1E,Curved Glass Freezer,12cu,JUGNAHLM7X,Hiron,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09MBGRQZ918B0JYQNE,Curved Glass Lighted Freezer,12cu,0Z5MXDGAE4,Haier,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09BBH1YX3X7ZTJQ3YB,Sliding Glass Freezer,9cu,W3MQEO4FJO,Aucma,2022,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK099JFYWXAKG01064WT,Sliding Glass Freezer,12cu,XZ4RFG3GCK,Aucma,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09F7V5CMSXPN9DDNR9,Curved Glass Freezer,18cu,OM4AQPAYP8,Liebherr,2019,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK092KE6C6NQ053J5HV2,Swing-up Freezer,24cu,TUVT7IGPWH,Aucma,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09Q34SDD3A4R8G3QYV,Swing-up Freezer,8cu,E8EDDMWFZW,Haier,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09DCASWAKNGCS4KDFY,Swing-up Freezer,8cu,GBSH5O0P9E,Haier,2017,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09RDR1PHAVMR9V5KJB,Curved Glass Freezer,24cu,89LQOJ3WQU,Aucma,2000,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09T1NQMD9NFP2XS7PH,Curved Glass Lighted Freezer,15cu,KFD66M1STQ,Aucma,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09KQDB5P5SS195863C,Curved Glass Lighted Freezer,12cu,SZTNPEKKLL,Liebherr,2017,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0974WJCDKCAW8PZZH8,Swing-up Freezer,24cu,UPXGGN2NAQ,Hiron,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09EJS3PR206FXGG19R,Curved Glass Lighted Freezer,18cu,ORYHXSNJ1K,Aucma,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09CJ6HP50ZGWAQY2QQ,Curved Glass Freezer,12cu,OSD9MAZTGQ,Liebherr,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
