id,user_id,account_id,order_date,expected_delivery_date,received_delivery_date,updated_by,status,total_price,created_at,updated_at
01M0MX49WGBE4AAW4JZQ6Y9GHX,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-01-14,,,,delivered,6400.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
01M0MX49WGNCYCAKEX9Q49Y0XY,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-01-21,,,,delivered,3850.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
01M0MX49WGQR1ST0YKH9QF3SQ2,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-03-02,,,,delivered,1750.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
01M0MX49WGR4E3TY4EA5XPXNFC,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-07-02,,,,processing,105.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
01M0MX49WGKMV3A8G3C311H2TF,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-11-02,,,,processing,585.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
01M0MX49WGKNTKR8HV4M9706RB,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-02-17,,,,delivered,490.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
01M0MX49WGGS2RDE6Y0FRFDMF8,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-02-24,,,,pending,5935.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
01M0MX49WG7YM46STT4MPAR2KV,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-05-03,,,,delivered,240.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
01M0MX49WG0TTWES9FV1VM45D7,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-08-03,,,,processing,2695.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
01M0MX49WGK5X1KDY4MXSZPJE8,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-03-14,,,,delivered,7035.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
01M0MX49WGMSK1XMG2E4MK7MAA,01KZRW48771BV67J8RNDGKP3AK,01KZRRGW14KMGR1H2QPNVXB420,2020-03-22,,,,pending,1415.00,2026-08-23 16:20:22.999897+08,2026-08-23 16:20:22.999897+08
