id,order_id,product_id,quantity,unit_price,total_price,status,created_at,updated_at
6,01M0MX49WGBE4AAW4JZQ6Y9GHX,411921G8X1MT1A4Z5EPH3YP4,15,30.00,450.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
7,01M0MX49WGBE4AAW4JZQ6Y9GHX,414773WE720HJ0P121AG8FHQ,8,350.00,2800.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
8,01M0MX49WGBE4AAW4JZQ6Y9GHX,413005KN3WGNAPH6NCQ5JCT9,9,350.00,3150.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
10,01M0MX49WGNCYCAKEX9Q49Y0XY,414773WE720HJ0P121AG8FHQ,11,350.00,3850.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
11,01M0MX49WGQR1ST0YKH9QF3SQ2,41511344QHQDJBZ4FRV45NKC,5,350.00,1750.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
12,01M0MX49WGR4E3TY4EA5XPXNFC,41085841ZKREWJPCC4PWVWR7,7,15.00,105.00,processing,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
13,01M0MX49WGKMV3A8G3C311H2TF,410258ZSW0QAXSVS8S3VV7TE,15,35.00,525.00,processing,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
14,01M0MX49WGKMV3A8G3C311H2TF,41150684MEXX0KJ3HG4B279E,2,30.00,60.00,processing,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
15,01M0MX49WGKNTKR8HV4M9706RB,412596TV7NC82RBGNTA0W8JZ,1,35.00,35.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
16,01M0MX49WGKNTKR8HV4M9706RB,412596TV7NC82RBGNTA0W8JZ,13,35.00,455.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
17,01M0MX49WGGS2RDE6Y0FRFDMF8,416951J7FD3NBDV1MM1QS36H,13,415.00,5395.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
18,01M0MX49WGGS2RDE6Y0FRFDMF8,41150684MEXX0KJ3HG4B279E,18,30.00,540.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
19,01M0MX49WG7YM46STT4MPAR2KV,411921G8X1MT1A4Z5EPH3YP4,8,30.00,240.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
20,01M0MX49WG0TTWES9FV1VM45D7,4162975Y25KN73W7KKDJGX6P,11,245.00,2695.00,processing,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
21,01M0MX49WGK5X1KDY4MXSZPJE8,41511344QHQDJBZ4FRV45NKC,20,350.00,7000.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
22,01M0MX49WGK5X1KDY4MXSZPJE8,410258ZSW0QAXSVS8S3VV7TE,1,35.00,35.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
26,01M0MX49WGMSK1XMG2E4MK7MAA,409892D87XEVH1ZTZXV5F6C1,7,155.00,1085.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
27,01M0MX49WGMSK1XMG2E4MK7MAA,416496PKZM0T9NY433H8KP6M,11,30.00,330.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
28,01M0MX49WGPMJ4FTANZ7MT6XAZ,414773WE720HJ0P121AG8FHQ,14,350.00,4900.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
29,01M0MX49WGPMJ4FTANZ7MT6XAZ,414773WE720HJ0P121AG8FHQ,3,350.00,1050.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
30,01M0MX49WG814XNMC018CHYX46,407702R5D86R3CBB81E3X29M,12,350.00,4200.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
31,01M0MX49WG814XNMC018CHYX46,4088862F2RR4FH8VD6HQ69ZM,3,350.00,1050.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
32,01M0MX49WG814XNMC018CHYX46,413005KN3WGNAPH6NCQ5JCT9,2,350.00,700.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
33,01M0MX49WGWYR86CRZMDF1XGPE,409420087QNW2D06G06MH7JS,20,350.00,7000.00,cancelled,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
34,01M0MX49WG969VBK4H1RNPS5BY,411039DJMEE6FWS52GMATRN7,4,25.00,100.00,confirmed,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
35,01M0MX49WG969VBK4H1RNPS5BY,412596TV7NC82RBGNTA0W8JZ,7,35.00,245.00,confirmed,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
36,01M0MX49WGNSC4GCTGFG32FQTD,417359ZGZV0QNH8M3DEYW8G5,20,350.00,7000.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
37,01M0MX49WGNSC4GCTGFG32FQTD,4082223DQAKGCJ8P0XHQQNB2,4,112.00,448.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
38,01M0MX49WG1QAG6VY0CSD3PZF7,412596TV7NC82RBGNTA0W8JZ,1,35.00,35.00,cancelled,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
41,01M0MX49WGZ6NNVQY5R9VQVPNJ,411039DJMEE6FWS52GMATRN7,20,25.00,500.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
42,01M0MX49WGZ6NNVQY5R9VQVPNJ,4116065CZMHNTR71A86YWAMC,19,350.00,6650.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
43,01M0MX49WG096YYCDHR8FQ8AZ7,411039DJMEE6FWS52GMATRN7,12,25.00,300.00,confirmed,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
44,01M0MX49WG096YYCDHR8FQ8AZ7,413521JP1792738MBB68XMK5,17,350.00,5950.00,confirmed,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
45,01M0MX49WG98STFAYJK4DG1FHA,411921G8X1MT1A4Z5EPH3YP4,4,30.00,120.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
46,01M0MX49WG98STFAYJK4DG1FHA,41150684MEXX0KJ3HG4B279E,12,30.00,360.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
47,01M0MX49WGAJFSTHKRX70PDMQM,417359ZGZV0QNH8M3DEYW8G5,17,350.00,5950.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
48,01M0MX49WGAJFSTHKRX70PDMQM,413005KN3WGNAPH6NCQ5JCT9,9,350.00,3150.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
49,01M0MX49WG0X4BC5YKWPCHZ0DD,411921G8X1MT1A4Z5EPH3YP4,15,30.00,450.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
50,01M0MX49WG0X4BC5YKWPCHZ0DD,41150684MEXX0KJ3HG4B279E,19,30.00,570.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
51,01M0MX49WG0X4BC5YKWPCHZ0DD,414773WE720HJ0P121AG8FHQ,11,350.00,3850.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
52,01M0MX49WGPV9KSDY5HAR11JXM,414773WE720HJ0P121AG8FHQ,15,350.00,5250.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
53,01M0MX49WG8ZSQZ5BKAQ1V7DA2,4082223DQAKGCJ8P0XHQQNB2,13,112.00,1456.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
54,01M0MX49WG8ZSQZ5BKAQ1V7DA2,409892D87XEVH1ZTZXV5F6C1,1,155.00,155.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
55,01M0MX49WG8ZSQZ5BKAQ1V7DA2,411921G8X1MT1A4Z5EPH3YP4,11,30.00,330.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
61,01M0MX49WGQZSW7VBEW5RCJ63V,41085841ZKREWJPCC4PWVWR7,16,15.00,240.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
62,01M0MX49WGQZSW7VBEW5RCJ63V,416496PKZM0T9NY433H8KP6M,1,30.00,30.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
63,01M0MX49WGQZSW7VBEW5RCJ63V,413521JP1792738MBB68XMK5,10,350.00,3500.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
64,01M0MX49WG072P2MSNE2RE86XE,416951J7FD3NBDV1MM1QS36H,19,415.00,7885.00,processing,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
68,01M0MX49WGXK1XTRWCF0JQM87E,4116065CZMHNTR71A86YWAMC,7,350.00,2450.00,confirmed,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
69,01M0MX49WGWSR9QFS1RHNNGGAC,41085841ZKREWJPCC4PWVWR7,6,15.00,90.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
70,01M0MX49WGWSR9QFS1RHNNGGAC,409339V9MK4RHRG0A0XWT91W,7,485.00,3395.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
71,01M0MX49WGWSR9QFS1RHNNGGAC,411921G8X1MT1A4Z5EPH3YP4,9,30.00,270.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
72,01M0MX49WG48YD363J10SVCE5P,4082223DQAKGCJ8P0XHQQNB2,10,112.00,1120.00,cancelled,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
73,01M0MX49WG48YD363J10SVCE5P,4116065CZMHNTR71A86YWAMC,7,350.00,2450.00,cancelled,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
74,01M0MX49WG48YD363J10SVCE5P,416951J7FD3NBDV1MM1QS36H,8,415.00,3320.00,cancelled,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
75,01M0MX49WGH6J8W1SY226FFEZK,41085841ZKREWJPCC4PWVWR7,18,15.00,270.00,confirmed,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
76,01M0MX49WG5MTPAQY6XHA4D8KT,410258ZSW0QAXSVS8S3VV7TE,10,35.00,350.00,confirmed,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
81,01M0MX49WG90CSK3XEVVX6KP5C,411921G8X1MT1A4Z5EPH3YP4,3,30.00,90.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
82,01M0MX49WG90CSK3XEVVX6KP5C,412596TV7NC82RBGNTA0W8JZ,2,35.00,70.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
83,01M0MX49WGWB0XR5F6GQN8V25J,416951J7FD3NBDV1MM1QS36H,3,415.00,1245.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
84,01M0MX49WGWB0XR5F6GQN8V25J,4088862F2RR4FH8VD6HQ69ZM,4,350.00,1400.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
85,01M0MX49WGWB0XR5F6GQN8V25J,410258ZSW0QAXSVS8S3VV7TE,14,35.00,490.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
89,01M0MX49WG6GSNAGWBY8CH84SD,412596TV7NC82RBGNTA0W8JZ,20,35.00,700.00,cancelled,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
90,01M0MX49WG6GSNAGWBY8CH84SD,407702R5D86R3CBB81E3X29M,20,350.00,7000.00,cancelled,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
91,01M0MX49WGRFEZS2AH2S98HNRN,413005KN3WGNAPH6NCQ5JCT9,7,350.00,2450.00,cancelled,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
92,01M0MX49WGARNRH43TXZCAF1NT,4088862F2RR4FH8VD6HQ69ZM,6,350.00,2100.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
93,01M0MX49WGWENBEG6F23SR0S68,41150684MEXX0KJ3HG4B279E,15,30.00,450.00,pending,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
95,01M0MX49WG52P5Q87XPBFPHWBJ,413521JP1792738MBB68XMK5,8,350.00,2800.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
96,01M0MX49WG52P5Q87XPBFPHWBJ,414773WE720HJ0P121AG8FHQ,19,350.00,6650.00,delivered,2026-08-23 16:39:18.391945+08,2026-08-23 16:39:18.391945+08
